country,year,parent_company,empty,hdpe,ldpe,o,pet,pp,ps,pvc,grand_total,num_events,volunteers,iso_code
Nigeria,2020,Emerald Food & Beverage Company Limited,0.0,2.0,0.0,0.0,474.0,12.0,0.0,0.0,488.0,18,2099.0,NGA
Nigeria,2020,Euro Global Food and distillers,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,18,2099.0,NGA
Nigeria,2020,Event Beverages,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,18,2099.0,NGA
Nigeria,2020,Event Water Ltd,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18,2099.0,NGA
Nigeria,2020,Fanmilk,0.0,0.0,0.0,23.0,1.0,0.0,0.0,0.0,24.0,18,2099.0,NGA
Nigeria,2020,Farmex Meyer Ltd,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18,2099.0,NGA
Nigeria,2020,Fastizers Food & Conversionary,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,18,2099.0,NGA
Nigeria,2020,Favour Bakery,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,17.0,18,2099.0,NGA
Nigeria,2020,Federer Food and beverage,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18,2099.0,NGA
Nigeria,2020,Fenchris,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18,2099.0,NGA
Nigeria,2020,Fidji Island Resource Nig. Ltd,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,18,2099.0,NGA
Nigeria,2020,Flour Mills Nigeria Plc,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,18,2099.0,NGA
Nigeria,2020,Franemm Industries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,18,2099.0,NGA
Nigeria,2020,Franks Industrial Ltd,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,34.0,18,2099.0,NGA
Nigeria,2020,Friesland Campina,0.0,0.0,81.0,8.0,0.0,0.0,0.0,0.0,89.0,18,2099.0,NGA
Nigeria,2020,Gement Benefit Asset & Mana,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,18,2099.0,NGA
Nigeria,2020,Genesis Food,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,11.0,18,2099.0,NGA
